model,family,regime,horizon,sum,count,rate,lo,hi
deepseek,cipher,compressed,2,13,25,0.52,0.334982179531473,0.6996899607103998
deepseek,cipher,compressed,4,2,25,0.08,0.02221993369109193,0.24966512122957818
deepseek,cipher,compressed,8,2,25,0.08,0.02221993369109193,0.24966512122957818
deepseek,cipher,compressed,16,0,25,0.0,0.0,0.13319649395317873
deepseek,cipher,compressed,32,0,25,0.0,0.0,0.13319649395317873
deepseek,cipher,natural,2,12,25,0.48,0.30031003928960015,0.6650178204685269
deepseek,cipher,natural,4,9,25,0.36,0.20247656431735636,0.5548184539895337
deepseek,cipher,natural,8,7,25,0.28,0.1428367383738157,0.47576971896558296
deepseek,cipher,natural,16,2,25,0.08,0.02221993369109193,0.24966512122957818
deepseek,cipher,natural,32,1,25,0.04,0.007096050386699165,0.19544472405022525
deepseek,cipher,padded,2,7,25,0.28,0.1428367383738157,0.47576971896558296
deepseek,cipher,padded,4,3,25,0.12,0.04166741357068093,0.2995619218337349
deepseek,cipher,padded,8,0,25,0.0,0.0,0.13319649395317873
deepseek,cipher,padded,16,0,25,0.0,0.0,0.13319649395317873
deepseek,cipher,padded,32,0,25,0.0,0.0,0.13319649395317873
deepseek,ledger,compressed,2,25,25,1.0,0.8668035060468213,1.0
deepseek,ledger,compressed,4,25,25,1.0,0.8668035060468213,1.0
deepseek,ledger,compressed,8,25,25,1.0,0.8668035060468213,1.0
deepseek,ledger,compressed,16,25,25,1.0,0.8668035060468213,1.0
deepseek,ledger,compressed,32,25,25,1.0,0.8668035060468213,1.0
deepseek,ledger,natural,2,25,25,1.0,0.8668035060468213,1.0
deepseek,ledger,natural,4,25,25,1.0,0.8668035060468213,1.0
deepseek,ledger,natural,8,24,25,0.96,0.8045552759497747,0.9929039496133008
deepseek,ledger,natural,16,25,25,1.0,0.8668035060468213,1.0
deepseek,ledger,natural,32,23,25,0.92,0.7503348787704218,0.977780066308908
deepseek,ledger,padded,2,24,25,0.96,0.8045552759497747,0.9929039496133008
deepseek,ledger,padded,4,20,25,0.8,0.6086866446346177,0.9113954589934752
deepseek,ledger,padded,8,6,25,0.24,0.11496157730326725,0.43430059955238565
deepseek,ledger,padded,16,0,25,0.0,0.0,0.13319649395317873
deepseek,ledger,padded,32,0,25,0.0,0.0,0.13319649395317873
deepseek,refchain,compressed,2,21,25,0.84,0.6534598601976183,0.9359665239142201
deepseek,refchain,compressed,4,23,25,0.92,0.7503348787704218,0.977780066308908
deepseek,refchain,compressed,8,20,25,0.8,0.6086866446346177,0.9113954589934752
deepseek,refchain,compressed,16,22,25,0.88,0.7004380781662651,0.9583325864293191
deepseek,refchain,compressed,32,19,25,0.76,0.5656994004476144,0.8850384226967327
deepseek,refchain,natural,2,25,25,1.0,0.8668035060468213,1.0
deepseek,refchain,natural,4,25,25,1.0,0.8668035060468213,1.0
deepseek,refchain,natural,8,25,25,1.0,0.8668035060468213,1.0
deepseek,refchain,natural,16,25,25,1.0,0.8668035060468213,1.0
deepseek,refchain,natural,32,24,25,0.96,0.8045552759497747,0.9929039496133008
deepseek,refchain,padded,2,25,25,1.0,0.8668035060468213,1.0
deepseek,refchain,padded,4,25,25,1.0,0.8668035060468213,1.0
deepseek,refchain,padded,8,25,25,1.0,0.8668035060468213,1.0
deepseek,refchain,padded,16,25,25,1.0,0.8668035060468213,1.0
deepseek,refchain,padded,32,25,25,1.0,0.8668035060468213,1.0
deepseek,toolqa,natural,2,15,15,1.0,0.7961107336956521,1.0
deepseek,toolqa,natural,4,15,15,1.0,0.7961107336956521,1.0
deepseek,toolqa,natural,8,10,15,0.6666666666666666,0.41713125151212976,0.8482389930530876
deepseek,toolqa,natural,16,4,15,0.26666666666666666,0.1089727610318281,0.5195088965768675
gemini,cipher,compressed,2,6,25,0.24,0.11496157730326725,0.43430059955238565
gemini,cipher,compressed,4,1,25,0.04,0.007096050386699165,0.19544472405022525
gemini,cipher,compressed,8,0,25,0.0,0.0,0.13319649395317873
gemini,cipher,compressed,16,0,25,0.0,0.0,0.13319649395317873
gemini,cipher,compressed,32,0,25,0.0,0.0,0.13319649395317873
gemini,cipher,natural,2,9,25,0.36,0.20247656431735636,0.5548184539895337
gemini,cipher,natural,4,3,25,0.12,0.04166741357068093,0.2995619218337349
gemini,cipher,natural,8,3,25,0.12,0.04166741357068093,0.2995619218337349
gemini,cipher,natural,16,0,25,0.0,0.0,0.13319649395317873
gemini,cipher,natural,32,0,25,0.0,0.0,0.13319649395317873
gemini,cipher,padded,2,0,25,0.0,0.0,0.13319649395317873
gemini,cipher,padded,4,0,25,0.0,0.0,0.13319649395317873
gemini,cipher,padded,8,0,25,0.0,0.0,0.13319649395317873
gemini,cipher,padded,16,0,25,0.0,0.0,0.13319649395317873
gemini,cipher,padded,32,0,25,0.0,0.0,0.13319649395317873
gemini,ledger,compressed,2,25,25,1.0,0.8668035060468213,1.0
gemini,ledger,compressed,4,25,25,1.0,0.8668035060468213,1.0
gemini,ledger,compressed,8,25,25,1.0,0.8668035060468213,1.0
gemini,ledger,compressed,16,25,25,1.0,0.8668035060468213,1.0
gemini,ledger,compressed,32,24,25,0.96,0.8045552759497747,0.9929039496133008
gemini,ledger,natural,2,25,25,1.0,0.8668035060468213,1.0
gemini,ledger,natural,4,25,25,1.0,0.8668035060468213,1.0
gemini,ledger,natural,8,25,25,1.0,0.8668035060468213,1.0
gemini,ledger,natural,16,24,25,0.96,0.8045552759497747,0.9929039496133008
gemini,ledger,natural,32,23,25,0.92,0.7503348787704218,0.977780066308908
gemini,ledger,padded,2,0,25,0.0,0.0,0.13319649395317873
gemini,ledger,padded,4,0,25,0.0,0.0,0.13319649395317873
gemini,ledger,padded,8,2,25,0.08,0.02221993369109193,0.24966512122957818
gemini,ledger,padded,16,2,25,0.08,0.02221993369109193,0.24966512122957818
gemini,ledger,padded,32,1,25,0.04,0.007096050386699165,0.19544472405022525
gemini,refchain,compressed,2,25,25,1.0,0.8668035060468213,1.0
gemini,refchain,compressed,4,24,25,0.96,0.8045552759497747,0.9929039496133008
gemini,refchain,compressed,8,24,25,0.96,0.8045552759497747,0.9929039496133008
gemini,refchain,compressed,16,21,25,0.84,0.6534598601976183,0.9359665239142201
gemini,refchain,compressed,32,23,25,0.92,0.7503348787704218,0.977780066308908
gemini,refchain,natural,2,25,25,1.0,0.8668035060468213,1.0
gemini,refchain,natural,4,25,25,1.0,0.8668035060468213,1.0
gemini,refchain,natural,8,25,25,1.0,0.8668035060468213,1.0
gemini,refchain,natural,16,25,25,1.0,0.8668035060468213,1.0
gemini,refchain,natural,32,25,25,1.0,0.8668035060468213,1.0
gemini,refchain,padded,2,0,25,0.0,0.0,0.13319649395317873
gemini,refchain,padded,4,0,25,0.0,0.0,0.13319649395317873
gemini,refchain,padded,8,1,25,0.04,0.007096050386699165,0.19544472405022525
gemini,refchain,padded,16,4,25,0.16,0.06403347608577989,0.34654013980238163
gemini,refchain,padded,32,16,25,0.64,0.44518154601046633,0.7975234356826436
gemini,toolqa,natural,2,3,15,0.2,0.07047420643610414,0.4518593533465045
gemini,toolqa,natural,4,8,15,0.5333333333333333,0.3011663015105079,0.7519077474025355
gemini,toolqa,natural,8,0,15,0.0,0.0,0.20388926630434784
gemini,toolqa,natural,16,0,15,0.0,0.0,0.20388926630434784
gpt4omini,cipher,compressed,2,11,25,0.44,0.2666537494700256,0.6293298298043557
gpt4omini,cipher,compressed,4,3,25,0.12,0.04166741357068093,0.2995619218337349
gpt4omini,cipher,compressed,8,0,25,0.0,0.0,0.13319649395317873
gpt4omini,cipher,compressed,16,0,25,0.0,0.0,0.13319649395317873
gpt4omini,cipher,compressed,32,0,25,0.0,0.0,0.13319649395317873
gpt4omini,cipher,natural,2,15,25,0.6,0.40739127785127344,0.7659694233580909
gpt4omini,cipher,natural,4,6,25,0.24,0.11496157730326725,0.43430059955238565
gpt4omini,cipher,natural,8,2,25,0.08,0.02221993369109193,0.24966512122957818
gpt4omini,cipher,natural,16,0,25,0.0,0.0,0.13319649395317873
gpt4omini,cipher,natural,32,0,25,0.0,0.0,0.13319649395317873
gpt4omini,cipher,padded,2,1,25,0.04,0.007096050386699165,0.19544472405022525
gpt4omini,cipher,padded,4,0,25,0.0,0.0,0.13319649395317873
gpt4omini,cipher,padded,8,0,25,0.0,0.0,0.13319649395317873
gpt4omini,cipher,padded,16,0,25,0.0,0.0,0.13319649395317873
gpt4omini,cipher,padded,32,0,25,0.0,0.0,0.13319649395317873
gpt4omini,ledger,compressed,2,24,25,0.96,0.8045552759497747,0.9929039496133008
gpt4omini,ledger,compressed,4,19,25,0.76,0.5656994004476144,0.8850384226967327
gpt4omini,ledger,compressed,8,0,25,0.0,0.0,0.13319649395317873
gpt4omini,ledger,compressed,16,1,25,0.04,0.007096050386699165,0.19544472405022525
gpt4omini,ledger,compressed,32,0,25,0.0,0.0,0.13319649395317873
gpt4omini,ledger,natural,2,25,25,1.0,0.8668035060468213,1.0
gpt4omini,ledger,natural,4,25,25,1.0,0.8668035060468213,1.0
gpt4omini,ledger,natural,8,25,25,1.0,0.8668035060468213,1.0
gpt4omini,ledger,natural,16,25,25,1.0,0.8668035060468213,1.0
gpt4omini,ledger,natural,32,21,25,0.84,0.6534598601976183,0.9359665239142201
gpt4omini,ledger,padded,2,2,25,0.08,0.02221993369109193,0.24966512122957818
gpt4omini,ledger,padded,4,0,25,0.0,0.0,0.13319649395317873
gpt4omini,ledger,padded,8,0,25,0.0,0.0,0.13319649395317873
gpt4omini,ledger,padded,16,0,25,0.0,0.0,0.13319649395317873
gpt4omini,ledger,padded,32,0,25,0.0,0.0,0.13319649395317873
gpt4omini,refchain,compressed,2,25,25,1.0,0.8668035060468213,1.0
gpt4omini,refchain,compressed,4,15,25,0.6,0.40739127785127344,0.7659694233580909
gpt4omini,refchain,compressed,8,6,25,0.24,0.11496157730326725,0.43430059955238565
gpt4omini,refchain,compressed,16,5,25,0.2,0.08860454100652487,0.3913133553653824
gpt4omini,refchain,compressed,32,6,25,0.24,0.11496157730326725,0.43430059955238565
gpt4omini,refchain,natural,2,25,25,1.0,0.8668035060468213,1.0
gpt4omini,refchain,natural,4,25,25,1.0,0.8668035060468213,1.0
gpt4omini,refchain,natural,8,25,25,1.0,0.8668035060468213,1.0
gpt4omini,refchain,natural,16,25,25,1.0,0.8668035060468213,1.0
gpt4omini,refchain,natural,32,25,25,1.0,0.8668035060468213,1.0
gpt4omini,refchain,padded,2,23,25,0.92,0.7503348787704218,0.977780066308908
gpt4omini,refchain,padded,4,16,25,0.64,0.44518154601046633,0.7975234356826436
gpt4omini,refchain,padded,8,17,25,0.68,0.48409913734576715,0.8279501248310887
gpt4omini,refchain,padded,16,25,25,1.0,0.8668035060468213,1.0
gpt4omini,refchain,padded,32,25,25,1.0,0.8668035060468213,1.0
gpt4omini,toolqa,natural,2,15,15,1.0,0.7961107336956521,1.0
gpt4omini,toolqa,natural,4,15,15,1.0,0.7961107336956521,1.0
gpt4omini,toolqa,natural,8,3,15,0.2,0.07047420643610414,0.4518593533465045
gpt4omini,toolqa,natural,16,1,15,0.06666666666666667,0.011866588606194856,0.2981707755242399
haiku,cipher,compressed,2,8,25,0.32,0.17204987516891143,0.5159008626542329
haiku,cipher,compressed,4,3,25,0.12,0.04166741357068093,0.2995619218337349
haiku,cipher,compressed,8,0,25,0.0,0.0,0.13319649395317873
haiku,cipher,compressed,16,0,25,0.0,0.0,0.13319649395317873
haiku,cipher,compressed,32,0,25,0.0,0.0,0.13319649395317873
haiku,cipher,natural,2,10,25,0.4,0.23403057664190918,0.5926087221487266
haiku,cipher,natural,4,2,25,0.08,0.02221993369109193,0.24966512122957818
haiku,cipher,natural,8,0,25,0.0,0.0,0.13319649395317873
haiku,cipher,natural,16,0,25,0.0,0.0,0.13319649395317873
haiku,cipher,natural,32,0,25,0.0,0.0,0.13319649395317873
haiku,cipher,padded,2,3,25,0.12,0.04166741357068093,0.2995619218337349
haiku,cipher,padded,4,0,25,0.0,0.0,0.13319649395317873
haiku,cipher,padded,8,0,25,0.0,0.0,0.13319649395317873
haiku,cipher,padded,16,0,25,0.0,0.0,0.13319649395317873
haiku,cipher,padded,32,0,25,0.0,0.0,0.13319649395317873
haiku,ledger,compressed,2,24,25,0.96,0.8045552759497747,0.9929039496133008
haiku,ledger,compressed,4,25,25,1.0,0.8668035060468213,1.0
haiku,ledger,compressed,8,25,25,1.0,0.8668035060468213,1.0
haiku,ledger,compressed,16,20,25,0.8,0.6086866446346177,0.9113954589934752
haiku,ledger,compressed,32,19,25,0.76,0.5656994004476144,0.8850384226967327
haiku,ledger,natural,2,25,25,1.0,0.8668035060468213,1.0
haiku,ledger,natural,4,25,25,1.0,0.8668035060468213,1.0
haiku,ledger,natural,8,25,25,1.0,0.8668035060468213,1.0
haiku,ledger,natural,16,24,25,0.96,0.8045552759497747,0.9929039496133008
haiku,ledger,natural,32,24,25,0.96,0.8045552759497747,0.9929039496133008
haiku,ledger,padded,2,19,25,0.76,0.5656994004476144,0.8850384226967327
haiku,ledger,padded,4,3,25,0.12,0.04166741357068093,0.2995619218337349
haiku,ledger,padded,8,0,25,0.0,0.0,0.13319649395317873
haiku,ledger,padded,16,0,25,0.0,0.0,0.13319649395317873
haiku,ledger,padded,32,0,25,0.0,0.0,0.13319649395317873
haiku,refchain,compressed,2,25,25,1.0,0.8668035060468213,1.0
haiku,refchain,compressed,4,23,25,0.92,0.7503348787704218,0.977780066308908
haiku,refchain,compressed,8,23,25,0.92,0.7503348787704218,0.977780066308908
haiku,refchain,compressed,16,19,25,0.76,0.5656994004476144,0.8850384226967327
haiku,refchain,compressed,32,22,25,0.88,0.7004380781662651,0.9583325864293191
haiku,refchain,natural,2,25,25,1.0,0.8668035060468213,1.0
haiku,refchain,natural,4,25,25,1.0,0.8668035060468213,1.0
haiku,refchain,natural,8,25,25,1.0,0.8668035060468213,1.0
haiku,refchain,natural,16,25,25,1.0,0.8668035060468213,1.0
haiku,refchain,natural,32,25,25,1.0,0.8668035060468213,1.0
haiku,refchain,padded,2,25,25,1.0,0.8668035060468213,1.0
haiku,refchain,padded,4,14,25,0.56,0.37067017019564436,0.7333462505299744
haiku,refchain,padded,8,3,25,0.12,0.04166741357068093,0.2995619218337349
haiku,refchain,padded,16,11,25,0.44,0.2666537494700256,0.6293298298043557
haiku,refchain,padded,32,4,25,0.16,0.06403347608577989,0.34654013980238163
haiku,toolqa,natural,2,15,15,1.0,0.7961107336956521,1.0
haiku,toolqa,natural,4,7,15,0.4666666666666667,0.24809225259746442,0.6988336984894921
haiku,toolqa,natural,8,0,15,0.0,0.0,0.20388926630434784
haiku,toolqa,natural,16,0,15,0.0,0.0,0.20388926630434784
llama1b,cipher,compressed,2,0,25,0.0,0.0,0.13319649395317873
llama1b,cipher,compressed,4,0,25,0.0,0.0,0.13319649395317873
llama1b,cipher,compressed,8,0,25,0.0,0.0,0.13319649395317873
llama1b,cipher,compressed,16,0,25,0.0,0.0,0.13319649395317873
llama1b,cipher,compressed,32,0,25,0.0,0.0,0.13319649395317873
llama1b,cipher,natural,2,0,25,0.0,0.0,0.13319649395317873
llama1b,cipher,natural,4,0,25,0.0,0.0,0.13319649395317873
llama1b,cipher,natural,8,0,25,0.0,0.0,0.13319649395317873
llama1b,cipher,natural,16,0,25,0.0,0.0,0.13319649395317873
llama1b,cipher,natural,32,0,25,0.0,0.0,0.13319649395317873
llama1b,cipher,padded,2,0,25,0.0,0.0,0.13319649395317873
llama1b,cipher,padded,4,0,25,0.0,0.0,0.13319649395317873
llama1b,cipher,padded,8,0,25,0.0,0.0,0.13319649395317873
llama1b,cipher,padded,16,0,25,0.0,0.0,0.13319649395317873
llama1b,cipher,padded,32,0,25,0.0,0.0,0.13319649395317873
llama1b,ledger,compressed,2,7,25,0.28,0.1428367383738157,0.47576971896558296
llama1b,ledger,compressed,4,6,25,0.24,0.11496157730326725,0.43430059955238565
llama1b,ledger,compressed,8,0,25,0.0,0.0,0.13319649395317873
llama1b,ledger,compressed,16,2,25,0.08,0.02221993369109193,0.24966512122957818
llama1b,ledger,compressed,32,0,25,0.0,0.0,0.13319649395317873
llama1b,ledger,natural,2,11,25,0.44,0.2666537494700256,0.6293298298043557
llama1b,ledger,natural,4,9,25,0.36,0.20247656431735636,0.5548184539895337
llama1b,ledger,natural,8,7,25,0.28,0.1428367383738157,0.47576971896558296
llama1b,ledger,natural,16,0,25,0.0,0.0,0.13319649395317873
llama1b,ledger,natural,32,0,25,0.0,0.0,0.13319649395317873
llama1b,ledger,padded,2,5,25,0.2,0.08860454100652487,0.3913133553653824
llama1b,ledger,padded,4,4,25,0.16,0.06403347608577989,0.34654013980238163
llama1b,ledger,padded,8,0,25,0.0,0.0,0.13319649395317873
